sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
36814292208,2022-05-09T07:16:30Z,80,19,18,43,104,54,0.1314596554850408
36814292207,2022-05-08T06:22:00Z,77,17,17,43,81,54,0.1113881961762261
36814292206,2022-05-07T06:43:00Z,65,17,13,35,28,55,0.18106508875739644
36814292205,2022-05-06T07:26:00Z,70,21,12,37,74,54,0.08209959623149395
36814292204,2022-05-05T08:38:30Z,63,16,14,33,43,53,0.09887359198998748
36814292203,2022-05-04T05:30:30Z,63,16,15,32,61,53,0.15538290788013318
36814292202,2022-05-03T03:58:30Z,57,15,14,28,38,52,0.07017543859649122
36726582903,2022-05-02T05:56:30Z,63,16,15,32,75,53,0.10554803788903924
36728047004,2022-05-01T05:39:30Z,71,19,14,38,88,54,0.16116504854368932
36707893148,2022-04-30T06:52:00Z,56,15,14,27,29,54,0.1652754590984975
36689328705,2022-04-29T06:08:30Z,64,15,14,35,74,55,0.20245979186376536
36683701541,2022-04-28T06:07:30Z,57,18,12,27,50,55,0.17922948073701842
36674020106,2022-04-27T05:29:00Z,67,17,15,35,53,56,0.1371280724450194
36674020105,2022-04-26T07:24:00Z,83,20,17,46,70,57,0.126012601260126
36674020104,2022-04-25T07:33:00Z,68,17,16,35,65,57,0.11695137976346912
36674020103,2022-04-24T07:16:00Z,73,20,18,35,41,56,0.127129750982962
36620302754,2022-04-23T07:21:30Z,70,17,19,34,54,60,0.11366711772665765
36604157252,2022-04-22T06:20:30Z,56,16,12,28,58,57,0.1017274472168906
36604157251,2022-04-19T06:03:30Z,73,17,18,38,92,56,0.08352402745995423
36604157249,2022-04-18T07:31:30Z,80,20,15,45,51,57,0.12175470008952552
36604157247,2022-04-17T09:18:00Z,81,21,15,45,105,56,0.10480349344978165
36604157246,2022-04-16T07:45:00Z,71,16,16,39,83,57,0.13471502590673576
36419144948,2022-04-08T05:36:30Z,71,21,14,36,81,61,0.08771929824561403
36419144946,2022-04-07T06:33:00Z,67,18,15,34,50,62,0.19135135135135134
36391821430,2022-04-06T06:30:00Z,68,17,13,38,44,59,0.08826815642458101
36391821429,2022-04-05T07:31:30Z,73,21,12,40,80,58,0.12244897959183673
36391821428,2022-04-04T06:18:00Z,61,15,12,34,92,58,0.12689173457508732
36391821427,2022-04-03T08:59:00Z,75,22,13,40,102,57,0.0795593635250918
36391821426,2022-04-02T06:51:00Z,74,16,17,41,93,58,0.10577971646673937
36391821425,2022-04-01T07:20:30Z,65,16,13,36,52,58,0.10810810810810811
36391821424,2022-03-31T07:34:00Z,76,17,19,40,57,57,0.10097719869706841
36261610227,2022-03-27T06:48:30Z,58,15,11,32,56,57,0.1394335511982571
36261610226,2022-03-26T08:44:00Z,74,17,17,40,80,57,0.10842105263157895
36240678156,2022-03-25T05:38:30Z,76,19,15,42,66,57,0.16197783461210571
36221771684,2022-03-24T05:38:30Z,74,21,15,38,80,56,0.05761316872427984
36218553627,2022-03-23T06:55:00Z,64,20,13,31,50,57,0.14494875549048317
36197455369,2022-03-22T07:20:30Z,65,17,16,32,48,58,0.18410041841004185
36178571425,2022-03-21T03:20:30Z,60,19,13,28,23,56,0.06896551724137931
36167968241,2022-03-20T08:28:00Z,59,13,21,25,37,59,0.1023454157782516
36165594070,2022-03-20T02:43:00Z,56,14,14,28,28,59,0.11232876712328767
36165594069,2022-03-19T08:26:30Z,81,22,15,44,98,59,0.11944869831546708
36165594068,2022-03-18T06:15:00Z,80,20,23,37,54,60,0.09720372836218376
36129925561,2022-03-17T06:22:00Z,76,20,14,42,95,61,0.11764705882352941
36129925560,2022-03-16T05:52:00Z,76,16,16,44,67,60,0.123730378578024
36102827277,2022-03-15T06:37:00Z,66,21,9,36,87,57,0.1793275217932752
36089238574,2022-03-14T06:41:30Z,71,23,11,37,112,55,0.14807872539831302
36089238573,2022-03-13T06:04:30Z,73,20,15,38,77,55,0.118488253319714
36063882647,2022-03-12T05:51:30Z,73,17,19,37,75,57,0.09090909090909091
36063882646,2022-03-11T06:11:30Z,72,16,21,35,50,58,0.09691629955947137
36063882645,2022-03-10T06:34:30Z,76,17,16,43,86,58,0.11357586512866016
36022247094,2022-03-09T06:25:00Z,67,16,14,37,32,58,0.12247474747474747
36009531323,2022-03-08T07:17:30Z,75,19,16,40,74,58,0.1037037037037037
36009531322,2022-03-07T07:22:00Z,72,18,14,40,54,57,0.13455328310010764
35979982253,2022-03-06T06:15:00Z,74,21,17,36,59,58,0.1038961038961039
35979982252,2022-03-05T09:14:00Z,75,21,16,38,77,58,0.08990147783251232
35979982250,2022-03-04T06:31:30Z,64,15,12,37,77,57,0.15987460815047022
35941518101,2022-03-03T06:38:30Z,70,17,16,37,74,58,0.10146561443066517
35928741668,2022-03-02T06:19:00Z,71,18,18,35,53,58,0.0946372239747634
35915711298,2022-03-01T07:35:30Z,77,18,15,44,95,59,0.12991765782250686
35915711297,2022-02-28T06:17:00Z,71,21,12,38,72,59,0.1162528216704289
35891332020,2022-02-27T06:25:30Z,57,17,11,29,52,59,0.1773049645390071
35884002252,2022-02-26T07:47:00Z,75,17,15,43,101,61,0.1468721668177697
35884002251,2022-02-25T06:47:30Z,62,16,14,32,61,61,0.21850613154960982
35858745453,2022-02-24T07:58:30Z,69,16,14,39,76,61,0.15227934044616878
35839882237,2022-02-23T07:28:30Z,70,16,15,39,86,61,0.17445482866043613
35826237963,2022-02-22T06:10:00Z,61,14,20,27,27,63,0.11468812877263582
35809902164,2022-02-21T06:12:00Z,79,21,19,39,78,65,0.1535135135135135
35809902163,2022-02-20T07:40:30Z,62,14,17,31,40,66,0.18050541516245489
35809902162,2022-02-19T09:31:00Z,69,15,14,40,72,66,0.21360643745427946
35769507735,2022-02-18T06:34:00Z,67,19,10,38,43,65,0.19457889641819942
35765129682,2022-02-17T07:22:00Z,68,16,11,41,48,61,0.16301969365426697
35765129681,2022-02-16T06:30:30Z,64,16,12,36,83,61,0.11751412429378531
35765129680,2022-02-15T06:48:30Z,59,15,13,31,31,61,0.13474240422721268
35718985496,2022-02-14T07:29:30Z,71,15,14,42,47,62,0.21715817694369974
35718985495,2022-02-13T08:48:00Z,71,15,13,43,65,61,0.1860662701784197
35718985494,2022-02-12T07:17:30Z,68,15,12,41,48,60,0.10852713178294573
35718985493,2022-02-11T06:35:30Z,62,15,12,35,36,61,0.12335329341317365
35718985491,2022-02-10T04:39:30Z,59,17,12,30,34,60,0.09532062391681109
35718985490,2022-02-09T07:04:00Z,68,14,13,41,71,60,0.11134453781512606
35639963378,2022-02-08T08:01:00Z,72,15,13,44,65,60,0.15196506550218342
35639963377,2022-02-07T06:02:00Z,62,14,11,37,39,59,0.17158469945355193
35639963375,2022-02-06T07:39:30Z,63,15,13,35,70,59,0.17033603707995365
35599762458,2022-02-05T09:10:30Z,70,15,15,40,51,60,0.11979695431472082
